Time	Key	Button	Event
123.899340     	b              	B              	+0000003
123.979338     	b              	B              	-0000003
124.459320     	l              	L              	+0000014
124.539341     	l              	L              	-0000014
124.547309     	a              	A              	+0000011
124.635590     	a              	A              	-0000011
124.891495     	c              	C              	+0000005
124.955588     	k              	K              	+0000003
124.987299     	c              	C              	-0000005
125.035621     	k              	K              	-0000003
125.803145     	right          	aRight         	+0000004
125.835543     	right          	aRight         	-0000004
125.916019     	right          	aRight         	+0000005
125.979328     	right          	aRight         	-0000005
126.955586     	shift          	Shift_l        	+0000013
127.051336     	:              	s4             	+0000002
127.083624     	shift          	Shift_l        	-0000013
127.115586     	;              	s4             	-0000002
127.179315     	enter          	Enter          	+0000003
127.306518     	enter          	Enter          	-0000003
127.867309     	enter          	Enter          	+0000004
127.947317     	enter          	Enter          	-0000004
133.435589     	i              	I              	+0000005
133.475593     	i              	I              	-0000005
133.507311     	f              	F              	+0000006
133.586993     	f              	F              	-0000006
134.219475     	shift          	Shift_l        	+0000014
134.475588     	(              	9              	+0000002
134.539335     	(              	9              	-0000002
134.555562     	shift          	Shift_l        	-0000014
135.227704     	k              	K              	+0000004
135.275591     	k              	K              	-0000004
135.339226     	e              	E              	+0000020
135.387728     	e              	E              	-0000020
135.563659     	y              	Y              	+0000004
135.627306     	y              	Y              	-0000004
135.787769     	b              	B              	+0000004
135.867311     	b              	B              	-0000004
135.963619     	o              	O              	+0000008
136.027716     	o              	O              	-0000008
136.076221     	a              	A              	+0000012
136.155476     	a              	A              	-0000012
136.267312     	r              	R              	+0000010
136.347309     	r              	R              	-0000010
136.459342     	d              	D              	+0000004
136.539333     	d              	D              	-0000004
138.338979     	=              	s1             	+0000009
138.387512     	=              	s1             	-0000009
138.483626     	=              	s1             	+0000010
138.548108     	=              	s1             	-0000010
139.467248     	'              	s5             	+0000009
139.531339     	'              	s5             	-0000009
140.435161     	e              	E              	+0000021
140.483057     	e              	E              	-0000021
140.810592     	x              	X              	+0000002
140.891698     	x              	X              	-0000002
141.021781     	t              	T              	+0000013
141.103162     	e              	E              	+0000022
141.113134     	t              	T              	-0000013
141.184632     	e              	E              	-0000022
141.219651     	r              	R              	+0000011
141.282736     	r              	R              	-0000011
141.315276     	n              	N              	+0000007
141.411341     	n              	N              	-0000007
141.475632     	a              	A              	+0000013
141.523622     	a              	A              	-0000013
141.555594     	l              	L              	+0000015
141.731585     	l              	L              	-0000015
142.483630     	'              	s5             	+0000010
142.547307     	'              	s5             	-0000010
143.907306     	space          	Space          	+0000012
143.987301     	space          	Space          	-0000012
145.180586     	o              	O              	+0000009
145.227669     	o              	O              	-0000009
145.259320     	r              	R              	+0000012
145.339171     	r              	R              	-0000012
145.371349     	space          	Space          	+0000013
145.451332     	space          	Space          	-0000013
145.915785     	k              	K              	+0000005
145.979303     	k              	K              	-0000005
146.027757     	e              	E              	+0000023
146.075551     	e              	E              	-0000023
146.466654     	y              	Y              	+0000005
146.531688     	y              	Y              	-0000005
146.771349     	b              	B              	+0000005
146.787307     	h              	H              	+0000005
146.819935     	h              	H              	-0000005
146.835588     	b              	B              	-0000005
146.883303     	o              	O              	+0000010
146.963115     	o              	O              	-0000010
146.995773     	a              	A              	+0000014
147.091347     	a              	A              	-0000014
147.139341     	r              	R              	+0000013
147.235586     	r              	R              	-0000013
147.411345     	d              	D              	+0000005
147.492119     	d              	D              	-0000005
147.571413     	shift          	Shift_l        	+0000015
147.731052     	T              	T              	+0000014
147.779555     	T              	T              	-0000014
147.786565     	shift          	Shift_l        	-0000015
147.971329     	y              	Y              	+0000006
148.035070     	y              	Y              	-0000006
148.619332     	p              	P              	+0000003
148.651622     	p              	P              	-0000003
148.699495     	e              	E              	+0000024
148.747364     	e              	E              	-0000024
149.027711     	=              	s1             	+0000011
149.091480     	=              	s1             	-0000011
150.387309     	'              	s5             	+0000011
150.467664     	'              	s5             	-0000011
150.795359     	b              	B              	+0000006
150.859313     	b              	B              	-0000006
150.907734     	u              	U              	+0000007
150.972023     	u              	U              	-0000007
151.147216     	i              	I              	+0000006
151.211253     	i              	I              	-0000006
151.491723     	l              	L              	+0000016
151.539345     	l              	L              	-0000016
151.571268     	t              	T              	+0000015
151.635594     	t              	T              	-0000015
151.715622     	i              	I              	+0000007
151.827309     	i              	I              	-0000007
151.891853     	n              	N              	+0000008
151.971322     	n              	N              	-0000008
152.323657     	'              	s5             	+0000012
152.387765     	'              	s5             	-0000012
153.555584     	shift          	Shift_l        	+0000016
153.684009     	)              	0              	+0000003
153.747993     	)              	0              	-0000003
153.779347     	shift          	Shift_l        	-0000016
154.220124     	shift          	Shift_l        	+0000017
154.411341     	:              	s4             	+0000003
154.475588     	:              	s4             	-0000003
154.571340     	shift          	Shift_l        	-0000017
156.411465     	enter          	Enter          	+0000005
156.491355     	enter          	Enter          	-0000005
156.708298     	tab            	Tab            	+0000002
156.788266     	tab            	Tab            	-0000002
158.155583     	s              	S              	+0000008
158.219135     	e              	E              	+0000025
158.235059     	s              	S              	-0000008
158.315592     	e              	E              	-0000025
158.507311     	l              	L              	+0000017
158.571349     	f              	F              	+0000007
158.579460     	l              	L              	-0000017
158.651242     	f              	F              	-0000007
159.019132     	.              	s8             	+0000004
159.067735     	.              	s8             	-0000004
159.259576     	shift          	Shift_l        	+0000018
159.323653     	+              	s1             	+0000012
159.403659     	+              	s1             	-0000012
159.555586     	shift          	Shift_l        	-0000018
160.067318     	backspace      	BckSpc         	+0000016
160.131331     	backspace      	BckSpc         	-0000016
160.211416     	shift          	Shift_l        	+0000019
160.323629     	_              	s0             	+0000012
160.371314     	_              	s0             	-0000012
160.435781     	shift          	Shift_l        	-0000019
163.811454     	k              	K              	+0000006
163.859324     	k              	K              	-0000006
163.867311     	e              	E              	+0000026
163.923152     	e              	E              	-0000026
164.131358     	y              	Y              	+0000007
164.211103     	y              	Y              	-0000007
164.355589     	b              	B              	+0000007
164.435863     	b              	B              	-0000007
164.531348     	o              	O              	+0000011
164.579333     	a              	A              	+0000015
164.595636     	o              	O              	-0000011
164.691315     	a              	A              	-0000015
164.723181     	r              	R              	+0000014
164.802999     	r              	R              	-0000014
164.994760     	d              	D              	+0000006
165.059557     	d              	D              	-0000006
165.139444     	shift          	Shift_l        	+0000020
165.283649     	T              	T              	+0000016
165.363269     	shift          	Shift_l        	-0000020
165.380174     	t              	T              	-0000016
165.507319     	y              	Y              	+0000008
165.571352     	y              	Y              	-0000008
165.747314     	e              	E              	+0000027
165.811338     	e              	E              	-0000027
166.219726     	backspace      	BckSpc         	+0000017
166.282952     	backspace      	BckSpc         	-0000017
166.595599     	p              	P              	+0000004
166.643336     	p              	P              	-0000004
166.659461     	e              	E              	+0000028
166.723723     	e              	E              	-0000028
167.483621     	=              	s1             	+0000013
167.547319     	=              	s1             	-0000013
169.779344     	k              	K              	+0000007
169.811253     	k              	K              	-0000007
169.859323     	e              	E              	+0000029
169.907123     	e              	E              	-0000029
170.403656     	y              	Y              	+0000009
170.467314     	y              	Y              	-0000009
170.707312     	b              	B              	+0000008
170.803625     	b              	B              	-0000008
170.882758     	o              	O              	+0000012
170.947311     	o              	O              	-0000012
170.955477     	a              	A              	+0000016
171.068306     	a              	A              	-0000016
171.235390     	r              	R              	+0000015
171.331351     	r              	R              	-0000015
171.571547     	d              	D              	+0000007
171.635597     	d              	D              	-0000007
171.763658     	shift          	Shift_l        	+0000021
171.907972     	T              	T              	+0000017
171.939348     	shift          	Shift_l        	-0000021
171.955634     	t              	T              	-0000017
172.115591     	y              	Y              	+0000010
172.179355     	y              	Y              	-0000010
172.323633     	p              	P              	+0000005
172.387316     	p              	P              	-0000005
172.419351     	e              	E              	+0000030
172.483627     	e              	E              	-0000030
173.523347     	enter          	Enter          	+0000006
173.587166     	enter          	Enter          	-0000006
174.867149     	e              	E              	+0000031
174.930986     	e              	E              	-0000031
175.091551     	l              	L              	+0000018
175.155385     	l              	L              	-0000018
175.187292     	s              	S              	+0000009
175.267048     	e              	E              	+0000032
175.314918     	s              	S              	-0000009
175.378748     	e              	E              	-0000032
175.555294     	shift          	Shift_l        	+0000022
175.619107     	:              	s4             	+0000004
175.698894     	shift          	Shift_l        	-0000022
175.707878     	;              	s4             	-0000004
176.458895     	enter          	Enter          	+0000007
176.522725     	enter          	Enter          	-0000007
176.683292     	tab            	Tab            	+0000003
176.763047     	tab            	Tab            	-0000003
177.811249     	r              	R              	+0000016
177.875107     	a              	A              	+0000017
177.891064     	r              	R              	-0000016
177.954871     	a              	A              	-0000017
178.571249     	i              	I              	+0000008
178.635042     	s              	S              	+0000010
178.643021     	i              	I              	-0000008
178.698873     	e              	E              	+0000033
178.714829     	s              	S              	-0000010
178.795619     	e              	E              	-0000033
180.459196     	space          	Space          	+0000014
180.523029     	space          	Space          	-0000014
180.715490     	shift          	Shift_l        	+0000023
180.860107     	E              	E              	+0000034
180.922955     	E              	E              	-0000034
180.938919     	shift          	Shift_l        	-0000023
181.147376     	x              	X              	+0000003
181.211157     	x              	X              	-0000003
181.682928     	c              	C              	+0000006
181.746753     	e              	E              	+0000035
181.779635     	c              	C              	-0000006
181.843465     	e              	E              	-0000035
181.923284     	p              	P              	+0000006
181.987080     	p              	P              	-0000006
182.018996     	t              	T              	+0000018
182.082826     	t              	T              	-0000018
182.163612     	i              	I              	+0000009
182.227440     	o              	O              	+0000013
182.259354     	i              	I              	-0000009
182.307279     	o              	O              	-0000013
182.402968     	n              	N              	+0000009
182.466834     	n              	N              	-0000009
182.546617     	space          	Space          	+0000015
182.627401     	space          	Space          	-0000015
182.922579     	backspace      	BckSpc         	+0000018
182.971452     	backspace      	BckSpc         	-0000018
183.178926     	shift          	Shift_l        	+0000024
183.283614     	)              	0              	+0000004
183.315570     	)              	0              	-0000004
183.395321     	shift          	Shift_l        	-0000024
183.674600     	backspace      	BckSpc         	+0000019
183.739431     	backspace      	BckSpc         	-0000019
183.835141     	shift          	Shift_l        	+0000025
184.171249     	shift          	Shift_l        	-0000025
184.235070     	shift          	Shift_l        	+0000026
184.282975     	(              	9              	+0000003
184.346773     	(              	9              	-0000003
184.539257     	shift          	Shift_l        	-0000026
186.747378     	shift          	Shift_l        	+0000027
186.891002     	"              	s5             	+0000013
186.986748     	"              	s5             	-0000013
187.034585     	shift          	Shift_l        	-0000027
187.563174     	;              	s4             	+0000005
187.627003     	;              	s4             	-0000005
187.658918     	a              	A              	+0000018
187.723745     	a              	A              	-0000018
187.923212     	y              	Y              	+0000011
187.987041     	y              	Y              	-0000011
188.034914     	o              	O              	+0000014
188.082812     	o              	O              	-0000014
188.211440     	u              	U              	+0000008
188.291225     	u              	U              	-0000008
188.307183     	t              	T              	+0000019
188.371012     	t              	T              	-0000019
190.107371     	.              	s8             	+0000005
190.187157     	.              	s8             	-0000005
191.331098     	shift          	Shift_l        	+0000028
191.410885     	_              	s0             	+0000013
191.475712     	_              	s0             	-0000013
191.490672     	shift          	Shift_l        	-0000028
192.427200     	i              	I              	+0000010
192.475074     	i              	I              	-0000010
192.586743     	n              	N              	+0000010
192.651568     	n              	N              	-0000010
192.699458     	i              	I              	+0000011
192.779228     	i              	I              	-0000011
192.827133     	t              	T              	+0000020
192.890929     	t              	T              	-0000020
194.234767     	backspace      	BckSpc         	+0000020
194.282655     	backspace      	BckSpc         	-0000020
194.379354     	backspace      	BckSpc         	+0000021
194.427248     	backspace      	BckSpc         	-0000021
194.507038     	backspace      	BckSpc         	+0000022
194.554913     	backspace      	BckSpc         	-0000022
194.946829     	backspace      	BckSpc         	+0000023
195.010660     	backspace      	BckSpc         	-0000023
195.187219     	shift          	Shift_l        	+0000029
195.266974     	_              	s0             	+0000014
195.314845     	_              	s0             	-0000014
195.346760     	shift          	Shift_l        	-0000029
195.587155     	i              	I              	+0000012
195.666938     	i              	I              	-0000012
195.731745     	n              	N              	+0000011
195.827476     	n              	N              	-0000011
195.859399     	i              	I              	+0000013
195.939178     	i              	I              	-0000013
195.955169     	t              	T              	+0000021
196.003009     	t              	T              	-0000021
196.866699     	shift          	Shift_l        	+0000030
197.059182     	_              	s0             	+0000015
197.123044     	_              	s0             	-0000015
197.186841     	_              	s0             	+0000016
197.251676     	_              	s0             	-0000016
197.355407     	shift          	Shift_l        	-0000030
198.650961     	shift          	Shift_l        	+0000031
198.891283     	(              	9              	+0000004
198.971072     	(              	9              	-0000004
199.034900     	shift          	Shift_l        	-0000031
201.083424     	j              	J              	+0000001
201.242998     	j              	J              	-0000001
202.155571     	backspace      	BckSpc         	+0000024
202.203429     	backspace      	BckSpc         	-0000024
203.267585     	.              	s8             	+0000006
203.283555     	.              	s8             	-0000006
203.411200     	.              	s8             	+0000007
203.443114     	.              	s8             	-0000007
203.554846     	.              	s8             	+0000008
203.570803     	.              	s8             	-0000008
206.787175     	,              	s7             	+0000009
206.851005     	,              	s7             	-0000009
207.314765     	space          	Space          	+0000016
207.378627     	space          	Space          	-0000016
207.835371     	k              	K              	+0000008
207.883253     	k              	K              	-0000008
207.915158     	e              	E              	+0000036
207.995944     	e              	E              	-0000036
208.171472     	y              	Y              	+0000012
208.251259     	y              	Y              	-0000012
208.547468     	b              	B              	+0000009
208.611308     	b              	B              	-0000009
208.691085     	o              	O              	+0000015
208.754918     	o              	O              	-0000015
208.802784     	a              	A              	+0000019
208.915483     	a              	A              	-0000019
208.963366     	r              	R              	+0000017
209.075089     	r              	R              	-0000017
209.299457     	d              	D              	+0000008
209.363322     	shift          	Shift_l        	+0000032
209.443074     	D              	D              	-0000008
